Scode,Year,Longitu,Latitu
SH601865,2023,120.755287,30.808035
SH601865,2024,120.755287,30.808035
SH603185,2018,120.28429,31.52853
SH603185,2019,120.28429,31.52853
SH603185,2020,120.28429,31.52853
SH603185,2021,120.28429,31.52853
SH603185,2022,120.28429,31.52853
SH603185,2023,120.28429,31.52853
SH603185,2024,120.28429,31.52853
SH603212,2020,120.64517,31.13914
SH603212,2021,120.64517,31.13914
SH603212,2022,120.70179,31.12947
SH603212,2023,120.64517,31.13914
SH603212,2024,120.64517,31.13914
SH603396,2017,122.20646,40.66629
SH603396,2018,122.20646,40.66629
SH603396,2019,122.20646,40.66629
SH603396,2020,122.20646,40.66629
SH603396,2021,122.20646,40.66629
SH603396,2022,122.20646,40.66629
SH603396,2023,122.20646,40.66629
SH603396,2024,122.20646,40.66629
SH603628,2016,118.24722,24.61854
SH603628,2017,118.24722,24.61854
SH603628,2018,118.24722,24.61854
SH603628,2019,118.24722,24.61854
SH603628,2020,118.24722,24.61854
SH603628,2021,118.24722,24.61854
SH603628,2022,118.236209,24.685829
SH603628,2023,118.24722,24.61854
SH603628,2024,118.24722,24.61854
SH603806,2014,119.7248,30.23383
SH603806,2015,119.7248,30.23383
SH603806,2016,119.7248,30.23383
SH603806,2017,119.726151,30.243025
SH603806,2018,119.726151,30.243025
SH603806,2019,119.726151,30.243025
SH603806,2020,119.726151,30.243025
SH603806,2021,119.726151,30.243025
SH603806,2022,119.726151,30.243025
SH603806,2023,119.726151,30.243025
SH603806,2024,119.726151,30.243025
SH688390,2020,120.57186,31.29579
SH688390,2021,120.57186,31.29579
SH688390,2022,120.57186,31.29579
SH688390,2023,120.57186,31.29579
SH688390,2024,120.57186,31.29579
SH688408,2020,120.98181,31.38475
SH688408,2021,120.98181,31.38475
SH688408,2022,120.98181,31.38475
SH688408,2023,120.98181,31.38475
SH688408,2024,121.020031,31.346508
SH688516,2020,120.36434,31.49055
SH688516,2021,120.36434,31.49055
SH688516,2022,120.36434,31.49055
SH688516,2023,120.36434,31.49055
SH688516,2024,120.36434,31.49055
SH688556,2020,120.39629,36.30744
SH688556,2021,120.39629,36.30744
SH688556,2022,120.317543,36.299076
SH688556,2023,120.39629,36.30744
SH688556,2024,120.39629,36.30744
SH688560,2020,114.42773,27.79817
SH688560,2021,114.42773,27.79817
SH688560,2022,114.42773,27.79817
SH688560,2023,114.42773,27.79817
SH688560,2024,114.42773,27.79817
SH688598,2020,112.37409,28.5793
SH688598,2021,112.37409,28.5793
SH688598,2022,112.37409,28.5793
SH688598,2023,112.37409,28.5793
SH688598,2024,112.37409,28.5793
SH688599,2020,119.97147,31.83052
SH688599,2021,119.97147,31.83052
SH688599,2022,119.97147,31.83052
SH688599,2023,119.97147,31.83052
SH688599,2024,119.97147,31.83052
BJ835368,2020,121.5255,38.95223
BJ835368,2021,121.5255,38.95223
BJ835368,2022,121.51844,38.970421
BJ835368,2023,121.51844,38.970421
BJ835368,2024,121.51844,38.970421
BJ839167,2020,120.64517,31.13914
BJ839167,2021,120.64517,31.13914
BJ839167,2022,120.66763,31.10516
BJ839167,2023,120.64517,31.13914
BJ839167,2024,120.64517,31.13914
